Record ID,Business Domain,Source System,Table Name,Field Name,Data Owner,Data Steward,Data Classification,Critical Data Element,Completeness Percent,Accuracy Percent,Consistency Flag,Duplicate Flag,GDPR Relevant,Regulation Type,Retention Policy Years,Masking Required,Access Level,Compliance Status,Audit Rating,Country,Country Latitude,Country Longitude,Audit Date,Data Quality Score,Governance Maturity Score,Compliance Risk Score,Audit Findings Count,Open Issues Count,Days Since Last Audit,Business Impact Score,Estimated Fine EUR,Remediation Cost EUR,Maturity Band,Low Governance Maturity Flag,Low Data Quality Flag,Governance-Quality Quadrant,Quality Band,Compliance Risk Band,High_or_Critical_Risk,Impact band,Estimated Fine Log,Fine Band,High Compliance Risk Flag,High Business Impact Flag,High Fine Flag,CRITICAL PRIORITY ASSET,Remediation Cost Band,Fine_to_Remediation_Ratio,ROI Band,Audit Month,Audit Freshness Band,Findings Severity Band,Open Issues Severity Band
908,Finance,Billing,Payments,Payment_ID,Finance Director,FP&A Analytics,Public,No,97.0,89.0,Yes,No,No,Internal Policy,2,No,Read,At Risk,A,Italy,41.9028,12.4964,2025-12-13,93.7,4,4.0,0,0,23,4,155361,6214,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.953513156768759,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),25.001770196330867,High ROI (10–50x),2025-12,Fresh,Clean,Resolved
909,HR,Recruiting_ATS,Recruitment,Role_Applied,HR Director,People Ops,Internal,No,81.5,90.0,No,No,No,Internal Policy,5,No,Read,At Risk,C,Portugal,38.7223,-9.1393,2025-08-16,84.2,2,33.2,5,2,142,2,139788,11183,Low Maturity,True,True,Critical (Low Quality + Low Maturity),Low Quality,Low Risk,False,Low Impact,11.847889421852063,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.500044710721632,High ROI (10–50x),2025-08,Fresh,Moderate Issues,Low
910,HR,Learning_LMS,Payroll,Deductions_EUR,HR Manager,Data Gov Team,Sensitive,Yes,70.4,95.3,No,No,Yes,GDPR,3,Yes,Write,Non-Compliant,E,Poland,52.2297,21.0122,2025-10-28,81.6,3,89.7,15,10,69,5,412721,99053,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Critical Risk,True,Medium Impact,12.93052952180716,Medium (€100k–€500k),True,False,False,False,High Cost (€50k–€150k),4.166668349267564,Moderate ROI (3–10x),2025-10,Fresh,Severe Issues,Critical
911,HR,Payroll,Recruitment,CV_Text,HR Manager,People Ops,Sensitive,Yes,84.2,85.7,Yes,Yes,Yes,GDPR,10,Yes,Read,Non-Compliant,E,Portugal,38.7223,-9.1393,2025-12-18,86.5,3,88.0,8,8,18,9,403652,80730,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Critical Risk,True,High Impact,12.908310876976888,Medium (€100k–€500k),True,True,False,False,High Cost (€50k–€150k),5.000024773937818,Moderate ROI (3–10x),2025-12,Fresh,Severe Issues,High
912,Marketing,CDP,Sessions,Customer_ID,Head of Growth,CRM Ops,Internal,No,95.7,100.0,Yes,No,No,Internal Policy,5,No,Read,Compliant,B,France,48.8566,2.3522,2025-08-10,98.1,3,22.3,2,0,148,6,0,2057,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-08,Fresh,Minor Issues,Resolved
913,Sales,Order_Management,Orders,Sales_Rep_ID,Sales Director,Data Gov Team,Internal,No,92.8,100.0,Yes,No,No,Internal Policy,5,No,Admin,At Risk,C,Netherlands,52.3676,4.9041,2024-07-09,96.8,3,46.4,2,0,545,3,252211,10088,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Low Impact,12.438025282665697,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),25.00109040444092,High ROI (10–50x),2024-07,Critical,Minor Issues,Resolved
914,Operations,Logistics,Shipments,Order_ID,Supply Chain Lead,Ops BI,Internal,No,96.4,88.7,Yes,No,No,Internal Policy,5,No,Admin,Non-Compliant,D,United Kingdom,51.5074,-0.1278,2024-11-30,93.3,2,57.0,8,5,401,6,453210,63449,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Medium Risk,False,Medium Impact,13.024113079686092,Medium (€100k–€500k),False,False,False,False,High Cost (€50k–€150k),7.142902173399108,Moderate ROI (3–10x),2024-11,Stale,Severe Issues,Medium
915,Sales,Order_Management,POS_Transactions,Txn_Date,Head of Revenue Ops,Data Gov Team,Public,No,92.9,96.3,Yes,No,No,Internal Policy,1,No,Read,At Risk,B,Portugal,38.7223,-9.1393,2025-01-27,95.1,3,20.2,2,2,343,4,63886,5111,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.064871176788817,Low (<€100k),False,False,False,False,Low Cost (<€10k),12.49970651535903,High ROI (10–50x),2025-01,Aging,Minor Issues,Low
916,Operations,WMS,Inventory,Reorder_Level,Ops Director,Data Gov Team,Internal,No,94.8,96.8,Yes,No,No,Internal Policy,1,No,Write,At Risk,C,Spain,40.4168,-3.7038,2025-04-07,96.2,3,37.3,4,2,273,5,124715,9977,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.733794431376422,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),12.500250576325548,High ROI (10–50x),2025-04,Aging,Moderate Issues,Low
917,Finance,Billing,Payments,Payment_ID,Finance Director,Finance Ops,Internal,No,95.9,80.9,Yes,No,No,Internal Policy,3,No,Admin,At Risk,C,Ireland,53.3498,-6.2603,2024-08-09,89.6,4,52.7,2,1,514,6,222453,13347,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Medium Risk,False,Medium Impact,12.312475617641413,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.666891436277815,High ROI (10–50x),2024-08,Stale,Minor Issues,Low
918,Operations,Procurement,Shipments,GPS_Location,Head of Operations,Ops BI,Internal,No,96.3,97.5,Yes,No,No,Internal Policy,2,No,Read,Compliant,B,Sweden,59.3293,18.0686,2024-03-27,97.2,3,28.3,1,0,649,5,0,725,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2024-03,Critical,Clean,Resolved
919,HR,HR_System,Payroll,Deductions_EUR,People Ops Lead,HR Analytics,Sensitive,Yes,88.0,92.7,Yes,No,Yes,GDPR,5,Yes,Read,Non-Compliant,E,France,48.8566,2.3522,2024-09-18,91.3,4,79.9,8,8,474,8,575108,115022,High Maturity,False,False,Healthy,High Quality,High Risk,True,High Impact,13.262314867031664,High (€500k–€1M),True,True,True,True,High Cost (€50k–€150k),4.999982612022048,Moderate ROI (3–10x),2024-09,Stale,Severe Issues,High
920,Sales,POS,POS_Transactions,Txn_Date,Head of Revenue Ops,Revenue Ops,Internal,No,100.0,90.7,Yes,No,No,Internal Policy,7,No,Read,At Risk,B,Belgium,50.8503,4.3517,2024-12-12,95.8,3,28.9,1,0,389,5,88183,3527,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.38718081964315,Low (<€100k),False,False,False,False,Low Cost (<€10k),25.002268216614688,High ROI (10–50x),2024-12,Stale,Clean,Resolved
921,Operations,Procurement,Inventory,Batch_Number,Head of Operations,Ops BI,Internal,Yes,91.8,83.2,No,No,No,Internal Policy,5,No,Read,At Risk,C,Netherlands,52.3676,4.9041,2025-09-14,85.8,3,32.1,3,1,113,4,119885,7193,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Low Risk,False,Medium Impact,11.694296570228188,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),16.6668983734186,High ROI (10–50x),2025-09,Fresh,Minor Issues,Low
922,HR,HR_System,Payroll,Bank_Account_IBAN,People Ops Lead,People Ops,Sensitive,Yes,85.1,98.5,Yes,No,Yes,GDPR,5,Yes,Write,Non-Compliant,E,Ireland,53.3498,-6.2603,2025-11-07,92.6,2,85.3,11,10,59,9,701910,168458,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Critical Risk,True,High Impact,13.461561894343825,High (€500k–€1M),True,True,True,True,Very High Cost (>€150k),4.166676560329578,Moderate ROI (3–10x),2025-11,Fresh,Severe Issues,Critical
923,Sales,Order_Management,POS_Transactions,Txn_ID,Regional Sales Lead,Revenue Ops,Internal,No,89.4,100.0,Yes,No,No,Internal Policy,2,No,Read,At Risk,A,Spain,40.4168,-3.7038,2025-11-30,95.2,3,11.9,0,0,36,3,25044,1002,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,10.128429485791717,Low (<€100k),False,False,False,False,Low Cost (<€10k),24.994011976047904,High ROI (10–50x),2025-11,Fresh,Clean,Resolved
924,IT,Data_Warehouse,Security_Incidents,Resolved_Flag,CIO,Security Ops,Internal,No,99.0,94.4,Yes,No,No,Internal Policy,1,No,Read,At Risk,A,Sweden,59.3293,18.0686,2025-06-01,97.0,5,14.2,0,0,218,3,203389,8136,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,12.222880597179541,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.998647984267453,High ROI (10–50x),2025-06,Aging,Clean,Resolved
925,Marketing,CRM,Sessions,Session_Start,Marketing Lead,Data Gov Team,Internal,Yes,87.4,75.5,No,No,No,Internal Policy,5,No,Read,At Risk,C,Germany,52.52,13.405,2024-10-24,80.3,2,48.9,4,1,438,5,233149,13989,Low Maturity,True,True,Critical (Low Quality + Low Maturity),Low Quality,Medium Risk,False,Medium Impact,12.359437302236467,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.66659518192866,High ROI (10–50x),2024-10,Stale,Moderate Issues,Low
926,Sales,Order_Management,POS_Transactions,Txn_ID,Regional Sales Lead,Revenue Ops,Public,No,96.6,95.0,Yes,No,No,Internal Policy,3,No,Read,Compliant,A,Italy,41.9028,12.4964,2025-07-06,96.2,3,7.8,1,0,183,1,0,210,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2025-07,Aging,Clean,Resolved
927,Sales,CRM,Orders,Sales_Rep_ID,Sales Director,Data Gov Team,Internal,No,93.0,92.0,Yes,No,No,Internal Policy,7,No,Read,At Risk,C,Netherlands,52.3676,4.9041,2024-03-28,93.3,3,30.0,4,0,648,5,185916,7437,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.133055616543036,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.99878983461073,High ROI (10–50x),2024-03,Critical,Moderate Issues,Resolved
928,Operations,Data_Warehouse,Support_Tickets,Customer_ID,Ops Director,Process Excellence,Internal,Yes,94.8,91.8,Yes,No,No,Internal Policy,3,No,Write,At Risk,B,Poland,52.2297,21.0122,2025-10-15,93.9,4,25.8,1,1,82,5,235971,14158,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.371468432901187,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.666972736262185,High ROI (10–50x),2025-10,Fresh,Clean,Low
929,IT,Data_Warehouse,AI_Models,PII_Used_Flag,Head of Data Platform,Data Gov Team,Sensitive,Yes,91.5,90.2,Yes,No,Yes,GDPR,7,Yes,Read,Non-Compliant,D,United Kingdom,51.5074,-0.1278,2025-05-22,91.8,4,74.1,8,5,228,7,839715,117560,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.640819018414321,High (€500k–€1M),False,True,True,False,High Cost (€50k–€150k),7.142863218781899,Moderate ROI (3–10x),2025-05,Aging,Severe Issues,Medium
930,Finance,Payments_Gateway,Payments,Chargeback_Flag,Controller,Finance Ops,Internal,No,93.2,89.3,Yes,No,No,SOX,7,No,Write,At Risk,C,Spain,40.4168,-3.7038,2025-04-15,92.1,4,35.8,5,1,265,5,61743,3705,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.0307520837774,Low (<€100k),False,False,False,False,Low Cost (<€10k),16.664777327935223,High ROI (10–50x),2025-04,Aging,Moderate Issues,Low
931,Finance,Data_Warehouse,Invoices,Tax_Amount_EUR,Controller,Data Gov Team,Confidential,No,100.0,93.8,No,No,Yes,GDPR,5,Yes,Read,Non-Compliant,D,Italy,41.9028,12.4964,2024-08-09,94.2,5,66.6,8,7,514,6,621203,111816,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.33941480938597,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),5.555582385347356,Moderate ROI (3–10x),2024-08,Stale,Severe Issues,High
932,IT,AI_Platform,Access_Logs,Result,CIO,Data Gov Team,Internal,No,89.4,89.8,Yes,No,No,NIS2,3,No,Write,At Risk,C,Ireland,53.3498,-6.2603,2025-09-06,90.6,2,40.3,4,0,121,5,246019,9841,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Medium Risk,False,Medium Impact,12.413168112422776,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.999390305863226,High ROI (10–50x),2025-09,Fresh,Moderate Issues,Resolved
933,HR,HR_System,Payroll,Bonus_EUR,People Ops Lead,People Ops,Sensitive,Yes,96.2,81.7,Yes,No,Yes,GDPR,2,Yes,Read,Non-Compliant,E,Ireland,53.3498,-6.2603,2024-12-24,90.1,4,80.5,15,10,377,8,478130,114751,High Maturity,False,False,Healthy,High Quality,High Risk,True,High Impact,13.077640032503806,Medium (€100k–€500k),True,True,False,False,High Cost (€50k–€150k),4.166673928767505,Moderate ROI (3–10x),2024-12,Stale,Severe Issues,Critical
934,Sales,Order_Management,POS_Transactions,Country,Sales Director,Data Gov Team,Internal,No,89.5,99.2,Yes,No,No,Internal Policy,3,No,Read,At Risk,B,Italy,41.9028,12.4964,2024-03-13,94.9,3,29.3,2,2,663,5,55693,4455,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,10.927627700184981,Low (<€100k),False,False,False,False,Low Cost (<€10k),12.501234567901234,High ROI (10–50x),2024-03,Critical,Minor Issues,Low
935,Operations,Logistics,Shipments,Order_ID,Ops Director,Process Excellence,Internal,Yes,89.3,98.0,No,Yes,No,Internal Policy,2,No,Read,Non-Compliant,D,Germany,52.52,13.405,2024-10-19,91.3,2,62.9,8,4,443,7,417668,50120,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Medium Risk,False,Medium Impact,12.94244453178667,Medium (€100k–€500k),False,True,False,False,High Cost (€50k–€150k),8.333359936153233,Moderate ROI (3–10x),2024-10,Stale,Severe Issues,Medium
936,HR,HR_System,Payroll,Deductions_EUR,People Ops Lead,People Ops,Sensitive,No,100.0,100.0,Yes,Yes,Yes,GDPR,3,Yes,Write,Non-Compliant,E,Denmark,55.6761,12.5683,2025-11-09,100.0,3,87.8,12,10,57,6,1195322,286877,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.993926999712237,Very High (€1M+),True,False,True,False,Very High Cost (>€150k),4.166670733450224,Moderate ROI (3–10x),2025-11,Fresh,Severe Issues,Critical
937,HR,Recruiting_ATS,Payroll,Net_Pay_EUR,People Ops Lead,HR Analytics,Sensitive,Yes,92.1,90.7,Yes,No,Yes,GDPR,5,Yes,Write,Non-Compliant,E,United Kingdom,51.5074,-0.1278,2025-01-11,92.3,3,92.5,14,10,359,8,1184145,284195,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,High Impact,13.984532397634746,Very High (€1M+),True,True,True,True,Very High Cost (>€150k),4.166663734407713,Moderate ROI (3–10x),2025-01,Aging,Severe Issues,Critical
938,HR,Data_Warehouse,Payroll,Bank_Account_IBAN,People Ops Lead,HR Analytics,Sensitive,Yes,86.8,81.3,Yes,No,Yes,GDPR,3,Yes,Admin,Non-Compliant,E,Portugal,38.7223,-9.1393,2025-09-04,85.6,4,99.6,15,10,123,10,462000,110880,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Critical Risk,True,High Impact,13.043322334563697,Medium (€100k–€500k),True,True,False,False,High Cost (€50k–€150k),4.166666666666667,Moderate ROI (3–10x),2025-09,Fresh,Severe Issues,Critical
939,HR,HR_System,Employees,Date_of_Birth,HR Manager,Data Gov Team,Sensitive,Yes,87.0,84.0,Yes,No,Yes,GDPR,10,Yes,Read,Non-Compliant,E,Italy,41.9028,12.4964,2025-10-16,87.0,3,75.9,14,10,81,9,955512,229323,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,High Risk,True,High Impact,13.77000364801209,High (€500k–€1M),True,True,True,True,Very High Cost (>€150k),4.166664486335867,Moderate ROI (3–10x),2025-10,Fresh,Severe Issues,Critical
940,HR,Data_Warehouse,Employees,National_ID,HR Manager,Data Gov Team,Sensitive,Yes,88.9,86.8,Yes,No,Yes,GDPR,2,Yes,Read,Non-Compliant,E,Netherlands,52.3676,4.9041,2024-10-22,89.0,5,77.9,11,10,440,8,481271,115505,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,High Risk,True,High Impact,13.084187877824979,Medium (€100k–€500k),True,True,False,False,High Cost (€50k–€150k),4.166668109605645,Moderate ROI (3–10x),2024-10,Stale,Severe Issues,Critical
941,Finance,Data_Warehouse,Invoices,Invoice_Date,Finance Director,Data Gov Team,Internal,No,99.5,90.3,Yes,No,No,Internal Policy,5,No,Write,At Risk,C,Poland,52.2297,21.0122,2024-03-16,95.4,5,31.1,2,0,660,4,94904,3796,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.460631670249095,Low (<€100k),False,False,False,False,Low Cost (<€10k),25.001053740779767,High ROI (10–50x),2024-03,Critical,Minor Issues,Resolved
942,Marketing,Data_Warehouse,Campaigns,UTM_Source,Digital Lead,CRM Ops,Public,No,94.4,97.0,Yes,Yes,No,Internal Policy,5,No,Admin,At Risk,C,Denmark,55.6761,12.5683,2025-04-13,96.1,4,48.1,5,3,267,2,109476,10948,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Low Impact,11.603469760513912,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),9.99963463646328,Moderate ROI (3–10x),2025-04,Aging,Moderate Issues,Medium
943,Marketing,CRM,Campaigns,Budget_EUR,Head of Growth,Marketing Analytics,Confidential,No,91.7,100.0,Yes,Yes,Yes,GDPR,10,Yes,Write,Non-Compliant,D,Belgium,50.8503,4.3517,2025-11-07,96.3,2,69.6,5,2,59,2,649618,51969,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,High Risk,True,Low Impact,13.384141316170341,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),12.500105832323115,High ROI (10–50x),2025-11,Fresh,Moderate Issues,Low
944,IT,Security_SIEM,Access_Logs,Result,CISO,Data Gov Team,Internal,Yes,95.0,78.4,No,No,No,NIS2,7,No,Read,At Risk,C,Netherlands,52.3676,4.9041,2025-06-30,85.0,3,41.2,3,2,189,4,111247,8900,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Medium Risk,False,Medium Impact,11.6195172223388,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),12.499662921348314,High ROI (10–50x),2025-06,Aging,Minor Issues,Low
945,Sales,POS,POS_Transactions,Cashier_ID,Head of Revenue Ops,Revenue Ops,Internal,No,89.2,92.2,Yes,No,No,Internal Policy,7,No,Read,At Risk,C,Germany,52.52,13.405,2024-01-26,91.6,3,30.8,4,2,710,5,187906,15033,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.143702438566084,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),12.499567617907271,High ROI (10–50x),2024-01,Critical,Moderate Issues,Low
946,Marketing,Data_Warehouse,Customer_Master,Device_ID,Digital Lead,Data Gov Team,Sensitive,No,91.5,81.4,Yes,No,Yes,GDPR,3,Yes,Read,Non-Compliant,E,Portugal,38.7223,-9.1393,2024-05-25,87.8,3,80.5,12,9,590,6,1205956,265310,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,High Risk,True,Medium Impact,14.002784000575568,Very High (€1M+),True,False,True,False,Very High Cost (>€150k),4.5454600278919,Moderate ROI (3–10x),2024-05,Critical,Severe Issues,High
947,Operations,Logistics,Support_Tickets,Agent_ID,Ops Director,Ops BI,Public,No,100.0,96.5,Yes,No,No,Internal Policy,1,No,Write,Compliant,B,Sweden,59.3293,18.0686,2024-02-01,98.4,2,29.7,2,0,704,3,0,442,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,Low Impact,0.0,Low (<€100k),False,False,False,False,Low Cost (<€10k),0.0,Low ROI (<3x),2024-02,Critical,Minor Issues,Resolved
948,Sales,CRM,Leads,Assigned_Rep,Regional Sales Lead,Sales Analytics,Confidential,No,88.7,96.2,No,No,No,Internal Policy,3,No,Read,At Risk,C,Belgium,50.8503,4.3517,2025-06-26,90.2,4,46.1,3,1,193,5,89404,5364,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Medium Impact,11.400931888009303,Low (<€100k),False,False,False,False,Low Cost (<€10k),16.667412378821776,High ROI (10–50x),2025-06,Aging,Minor Issues,Low
949,Sales,Order_Management,Orders,Shipping_Address,Head of Revenue Ops,Revenue Ops,Sensitive,Yes,88.0,98.4,Yes,No,Yes,GDPR,10,Yes,Write,Non-Compliant,E,Ireland,53.3498,-6.2603,2024-06-20,93.9,3,89.8,14,10,564,7,433043,103930,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,12.978594618450183,Medium (€100k–€500k),True,True,False,False,High Cost (€50k–€150k),4.16667949581449,Moderate ROI (3–10x),2024-06,Critical,Severe Issues,Critical
950,IT,Security_SIEM,Security_Incidents,Containment_Time_Hrs,CIO,Data Gov Team,Internal,No,94.3,83.7,Yes,No,No,Internal Policy,3,No,Read,At Risk,B,Belgium,50.8503,4.3517,2025-07-19,90.1,5,17.0,1,0,170,4,176247,7050,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,12.079647373092401,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),24.999574468085108,High ROI (10–50x),2025-07,Fresh,Clean,Resolved
951,IT,Security_SIEM,Access_Logs,Timestamp,Head of Data Platform,Data Gov Team,Internal,No,92.2,75.5,Yes,No,No,Internal Policy,3,No,Write,At Risk,B,France,48.8566,2.3522,2025-09-10,85.5,4,25.4,1,1,117,2,104089,6245,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Low Risk,False,Low Impact,11.553011188509513,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),16.667574059247396,High ROI (10–50x),2025-09,Fresh,Clean,Low
952,Finance,Payments_Gateway,Invoices,Invoice_Amount_EUR,Finance Director,Finance Ops,Internal,No,100.0,88.4,Yes,No,No,Internal Policy,7,No,Write,At Risk,B,Germany,52.52,13.405,2025-08-05,94.8,4,27.0,1,0,153,4,109036,4361,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Medium Impact,11.599442553152604,Medium (€100k–€500k),False,False,False,False,Low Cost (<€10k),25.00252235725751,High ROI (10–50x),2025-08,Fresh,Clean,Resolved
953,Sales,Support,Orders,Order_Amount_EUR,Regional Sales Lead,Data Gov Team,Confidential,No,93.1,100.0,Yes,No,Yes,GDPR,3,Yes,Write,Non-Compliant,D,Denmark,55.6761,12.5683,2024-06-14,96.9,3,67.4,5,3,570,4,1059089,105909,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.872920606808146,Very High (€1M+),False,False,True,False,High Cost (€50k–€150k),9.99999055793181,Moderate ROI (3–10x),2024-06,Critical,Moderate Issues,Medium
954,HR,Data_Warehouse,Employees,Employee_ID,People Ops Lead,People Ops,Internal,No,93.6,87.7,Yes,No,No,Internal Policy,7,No,Write,At Risk,C,Ireland,53.3498,-6.2603,2024-08-16,91.6,4,33.8,3,1,507,3,195848,11751,High Maturity,False,False,Healthy,High Quality,Low Risk,False,Low Impact,12.185099233132512,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),16.66649646838567,High ROI (10–50x),2024-08,Stale,Minor Issues,Low
955,HR,Recruiting_ATS,Recruitment,Hiring_Manager,People Ops Lead,People Ops,Confidential,No,100.0,100.0,Yes,No,Yes,GDPR,5,Yes,Write,Non-Compliant,D,Germany,52.52,13.405,2025-02-07,100.0,4,61.0,5,3,332,3,987011,98701,High Maturity,False,False,Healthy,High Quality,Medium Risk,False,Low Impact,13.802437476396422,High (€500k–€1M),False,False,True,False,High Cost (€50k–€150k),10.000010131609608,High ROI (10–50x),2025-02,Aging,Moderate Issues,Medium
956,IT,Monitoring,AI_Models,PII_Used_Flag,CISO,Data Gov Team,Sensitive,No,93.6,86.4,Yes,No,Yes,GDPR,5,Yes,Write,Non-Compliant,E,United Kingdom,51.5074,-0.1278,2025-10-04,91.0,4,77.7,15,10,93,7,1066270,255905,High Maturity,False,False,Healthy,High Quality,High Risk,True,Medium Impact,13.879678072787513,Very High (€1M+),True,True,True,True,Very High Cost (>€150k),4.166663410249898,Moderate ROI (3–10x),2025-10,Fresh,Severe Issues,Critical
957,HR,Learning_LMS,Employees,National_ID,HR Manager,HR Analytics,Sensitive,No,89.5,95.9,Yes,No,Yes,GDPR,10,Yes,Admin,Non-Compliant,E,Ireland,53.3498,-6.2603,2024-03-03,93.4,3,96.0,13,10,673,4,490177,117642,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.102523869428065,Medium (€100k–€500k),True,False,False,False,High Cost (€50k–€150k),4.166683667397698,Moderate ROI (3–10x),2024-03,Critical,Severe Issues,Critical
958,Finance,Billing,Invoices,IBAN,Finance Director,Finance Ops,Sensitive,Yes,96.0,100.0,Yes,No,Yes,GDPR,7,Yes,Read,Non-Compliant,D,Germany,52.52,13.405,2025-07-02,98.2,4,73.2,8,5,187,9,724229,101392,High Maturity,False,False,Healthy,High Quality,High Risk,True,High Impact,13.492864300476398,High (€500k–€1M),False,True,True,False,High Cost (€50k–€150k),7.142861369733312,Moderate ROI (3–10x),2025-07,Aging,Severe Issues,Medium
959,Marketing,Email_Platform,Campaigns,Channel,Marketing Lead,CRM Ops,Public,No,98.2,100.0,Yes,No,No,Internal Policy,3,No,Write,At Risk,C,Netherlands,52.3676,4.9041,2025-04-28,99.2,2,39.0,4,2,252,9,32019,2561,Low Maturity,True,False,Fragile (High Quality + Low Maturity),High Quality,Low Risk,False,High Impact,10.374115986550706,Low (<€100k),False,True,False,False,Low Cost (<€10k),12.50253807106599,High ROI (10–50x),2025-04,Aging,Moderate Issues,Low
960,Finance,ERP,GL_Entries,Account_Code,Controller,Data Gov Team,Internal,No,87.1,85.7,Yes,No,No,Internal Policy,3,No,Admin,At Risk,C,United Kingdom,51.5074,-0.1278,2025-04-20,87.7,4,45.5,3,3,260,3,255276,25528,High Maturity,False,True,Fixable (Low Quality + High Maturity),Low Quality,Medium Risk,False,Low Impact,12.450104509081129,Medium (€100k–€500k),False,False,False,False,Medium Cost (€10k–€50k),9.999843309307428,Moderate ROI (3–10x),2025-04,Aging,Minor Issues,Medium
961,Finance,Finance_System,Payments,Card_Token,Head of Finance Ops,Finance Ops,Sensitive,Yes,92.3,91.9,Yes,No,Yes,GDPR,7,Yes,Write,Non-Compliant,E,Ireland,53.3498,-6.2603,2024-02-08,92.9,4,87.2,10,8,697,7,564043,112809,High Maturity,False,False,Healthy,High Quality,Critical Risk,True,Medium Impact,13.242887541621645,High (€500k–€1M),True,True,True,True,High Cost (€50k–€150k),4.9999822709181005,Moderate ROI (3–10x),2024-02,Critical,Severe Issues,High
